Exec Time,Side,Pos Effect,Symbol,Qty,Price
5/5/25 11:00:37,BUY,TO OPEN,STNG,22,39.99
5/5/25 16:05:00,BUY,TO OPEN,MAT,26,16.0
5/6/25 07:00:08,BUY,TO OPEN,BYD,21,69.83
5/6/25 13:56:17,BUY,TO OPEN,CHRD,21,90.0
5/7/25 14:10:26,BUY,TO OPEN,OVV,23,33.33
5/29/25 10:08:59,BUY,TO OPEN,WIT,55,2.9084
5/29/25 10:10:12,BUY,TO OPEN,ATKR,21,65.98
5/29/25 10:16:59,BUY,TO OPEN,GIII,23,28.28
5/29/25 10:20:08,BUY,TO OPEN,ABEV,60,2.4897
5/29/25 16:03:14,BUY,TO OPEN,HAFN,40,5.0
5/29/25 16:08:43,BUY,TO OPEN,AEO,30,10.42
5/30/25 09:05:46,BUY,TO OPEN,SCVL,25,18.0
5/30/25 09:35:35,BUY,TO OPEN,ON,22,42.0
5/30/25 12:31:07,BUY,TO OPEN,TGNA,26,16.6
6/2/25 07:00:00,BUY,TO OPEN,VIPS,27,13.9
6/2/25 07:00:00,BUY,TO OPEN,ZM,21,80.99
6/2/25 07:00:00,BUY,TO OPEN,GIII,23,29.04
6/2/25 07:00:00,BUY,TO OPEN,CTSH,21,80.97
6/2/25 07:00:01,BUY,TO OPEN,PHM,21,98.03
6/2/25 07:00:08,BUY,TO OPEN,TGNA,26,16.72
6/2/25 07:00:08,BUY,TO OPEN,DOX,21,91.76
6/2/25 08:59:54,BUY,TO OPEN,RWAY,21,9.93
6/2/25 09:30:00,BUY,TO OPEN,FINV,22,8.36
6/2/25 09:30:00,BUY,TO OPEN,FINV,30,8.36
6/2/25 09:30:08,BUY,TO OPEN,RWAY,29,9.93
6/2/25 09:30:32,BUY,TO OPEN,PDD,21,96.0
6/2/25 09:32:00,BUY,TO OPEN,SCVL,25,19.0
6/2/25 12:16:27,BUY,TO OPEN,ABEV,61,2.44
6/3/25 09:32:01,BUY,TO OPEN,HAFN,40,5.0
6/9/25 11:03:55,BUY,TO OPEN,HG,25,20.63
6/23/25 09:31:07,BUY,TO OPEN,HNI,22,46.0
6/30/25 09:29:52,BUY,TO OPEN,FHI,22,44.5
7/2/25 09:30:00,BUY,TO OPEN,ZM,21,77.1
7/2/25 09:30:00,BUY,TO OPEN,CTSH,21,80.3
7/2/25 09:30:01,BUY,TO OPEN,TGNA,26,17.0
7/2/25 09:30:02,BUY,TO OPEN,AZN,21,70.62
7/2/25 09:30:05,BUY,TO OPEN,VIPS,26,15.05
7/2/25 09:31:07,BUY,TO OPEN,SGU,26,11.8
7/2/25 09:59:19,BUY,TO OPEN,HAFN,40,4.99
7/2/25 10:02:18,BUY,TO OPEN,TMHC,21,64.0
7/7/25 14:19:30,BUY,TO OPEN,SQM,22,35.5
7/9/25 11:46:42,BUY,TO OPEN,YRD,-120,6.0
8/5/25 09:30:00,BUY,TO OPEN,ACLS,21,80.0
8/5/25 09:30:00,BUY,TO OPEN,HAFN,37,5.85
8/5/25 09:30:00,BUY,TO OPEN,TGNA,26,16.34
8/5/25 09:30:01,BUY,TO OPEN,XYF,27,13.74
8/5/25 09:30:01,BUY,TO OPEN,VIPS,26,15.49
8/5/25 09:30:01,BUY,TO OPEN,GIB,21,96.75
8/5/25 09:30:01,BUY,TO OPEN,RWAY,29,10.67
8/5/25 09:30:01,BUY,TO OPEN,WIT,57,2.7
8/5/25 09:30:02,BUY,TO OPEN,TPVG,33,6.85
8/5/25 09:30:02,BUY,TO OPEN,GIII,24,24.28
8/5/25 09:30:02,BUY,TO OPEN,TPVG,21,6.85
8/5/25 09:30:02,BUY,TO OPEN,CTSH,21,71.26
8/5/25 09:30:05,BUY,TO OPEN,ABEV,65,2.2
8/5/25 09:30:21,BUY,TO OPEN,ATKR,21,70.0
9/2/25 09:30:00,BUY,TO OPEN,GMAB,24,25.79
9/2/25 09:30:01,BUY,TO OPEN,NMIH,22,39.0
9/2/25 09:30:01,BUY,TO OPEN,TGNA,25,21.1
9/2/25 09:30:01,BUY,TO OPEN,YUMC,22,44.02
9/2/25 09:30:02,BUY,TO OPEN,TMHC,21,66.14
9/2/25 09:30:02,BUY,TO OPEN,GIB,21,96.26
9/2/25 09:30:02,BUY,TO OPEN,CTSH,21,71.49
9/2/25 09:30:02,BUY,TO OPEN,XYF,26,15.0
9/2/25 09:30:02,BUY,TO OPEN,HAFN,35,6.11
9/2/25 09:30:02,BUY,TO OPEN,ZM,21,80.03
9/2/25 09:30:02,BUY,TO OPEN,TGT,21,95.03
9/2/25 09:30:02,BUY,TO OPEN,GIII,24,26.89
9/2/25 09:30:03,BUY,TO OPEN,WIT,55,2.75
9/2/25 09:30:04,BUY,TO OPEN,RAL,22,42.14
9/2/25 09:30:06,BUY,TO OPEN,VICI,23,33.52
9/2/25 09:30:07,BUY,TO OPEN,CHA,25,19.0
10/7/25 09:30:00,BUY,TO OPEN,NXT,21,78.34
10/7/25 09:30:01,BUY,TO OPEN,GIB,21,91.34
10/7/25 09:30:00,SELL,TO CLOSE,MSFT,-10,528.2
10/7/25 09:30:01,BUY,TO OPEN,PHM,21,132.53
10/7/25 09:30:01,BUY,TO OPEN,PDD,21,134.49
10/7/25 09:30:01,BUY,TO OPEN,VICI,23,32.25
10/7/25 09:30:02,BUY,TO OPEN,G,22,41.15
10/7/25 09:30:02,BUY,TO OPEN,YUMC,22,43.19
10/7/25 09:30:02,BUY,TO OPEN,ACN,21,249.13
10/7/25 09:30:02,BUY,TO OPEN,SU,22,41.42
10/7/25 09:33:11,BUY,TO OPEN,TMHC,21,65.48
12/26/24 09:32:49,SELL,TO CLOSE,CCRN,12,17.9404
