Exec Time,Side,Pos Effect,Symbol,Qty,Price
8/5/25 09:30:00,BUY,TO OPEN,TGNA,30,16.34
8/5/25 09:30:01,BUY,TO OPEN,XYF,35,13.74
8/5/25 09:30:01,BUY,TO OPEN,VIPS,30,15.49
8/5/25 09:30:01,BUY,TO OPEN,GIB,5,96.75
8/5/25 09:30:01,BUY,TO OPEN,RWAY,45,10.67
8/5/25 09:30:01,BUY,TO OPEN,WIT,185,2.7
8/5/25 09:30:02,BUY,TO OPEN,TPVG,65,6.85
8/5/25 09:30:02,BUY,TO OPEN,GIII,20,24.28
8/5/25 09:30:02,BUY,TO OPEN,TPVG,5,6.85
8/5/25 09:30:02,BUY,TO OPEN,CTSH,5,71.26
8/5/25 09:30:05,BUY,TO OPEN,ABEV,225,2.2
8/5/25 09:30:21,BUY,TO OPEN,ATKR,5,70.0
9/2/25 09:30:00,BUY,TO OPEN,GMAB,20,25.79
9/2/25 09:30:01,BUY,TO OPEN,NMIH,10,39.0
9/2/25 09:30:01,BUY,TO OPEN,TGNA,25,21.1
9/2/25 09:30:01,BUY,TO OPEN,YUMC,10,44.02
9/2/25 09:30:02,BUY,TO OPEN,TMHC,5,66.14
9/2/25 09:30:02,BUY,TO OPEN,GIB,5,96.26
9/2/25 09:30:02,BUY,TO OPEN,CTSH,5,71.49
9/2/25 09:30:02,BUY,TO OPEN,XYF,30,15.0
9/2/25 09:30:02,BUY,TO OPEN,HAFN,75,6.11
9/2/25 09:30:02,BUY,TO OPEN,ZM,5,80.03
9/2/25 09:30:02,BUY,TO OPEN,TGT,5,95.03
9/2/25 09:30:02,BUY,TO OPEN,GIII,20,26.89
9/2/25 09:30:03,BUY,TO OPEN,WIT,175,2.75
9/2/25 09:30:04,BUY,TO OPEN,RAL,10,42.14
9/2/25 09:30:06,BUY,TO OPEN,VICI,15,33.52
9/2/25 09:30:07,BUY,TO OPEN,CHA,25,19.0
10/7/25 09:30:00,BUY,TO OPEN,NXT,5,78.34
10/7/25 09:30:01,BUY,TO OPEN,GIB,5,91.34
10/7/25 09:30:01,BUY,TO OPEN,PHM,5,132.53
10/7/25 09:30:00,SELL,TO CLOSE,MSFT,-10,528.2
10/7/25 09:30:01,BUY,TO OPEN,PDD,5,134.49
10/7/25 09:30:01,BUY,TO OPEN,VICI,15,32.25
10/7/25 09:30:02,BUY,TO OPEN,G,10,41.15
10/7/25 09:30:02,BUY,TO OPEN,YUMC,10,43.19
10/7/25 09:30:02,BUY,TO OPEN,ACN,5,249.13
10/7/25 09:30:02,BUY,TO OPEN,SU,10,41.42
10/7/25 09:33:11,BUY,TO OPEN,TMHC,5,65.48
12/26/24 09:32:49,SELL,TO CLOSE,CCRN,-40,17.9404
12/9/25 09:30:00,BUY,TO OPEN,PDD,5,115.5
2/3/26 16:00:00,SELL,TO CLOSE,VICI,-15,28.05
2/9/26 09:30:00,SELL,TO CLOSE,YRD,-40,3.85
2/23/26 16:00:00,SELL,TO CLOSE,YRD,-20,3.73
